epoch,accuracy,loss,val_accuracy,val_loss
0,0.2420508475311227,1.8789268185526637,0.23,1.8184403858184814
1,0.2609435026486546,1.778395132796239,0.264,1.801416311264038
2,0.2727974169429834,1.7592003938505205,0.277,1.776580150604248
3,0.2780145282967616,1.7494686704570965,0.32,1.7765820941925048
4,0.27481275192635546,1.745674306154251,0.255,1.7709208335876465
5,0.2762324457514589,1.7430169866246692,0.278,1.7611219158172609
6,0.27777320424378926,1.7399489390648017,0.278,1.7612649364471435
7,0.27916787775012397,1.7396261959762898,0.283,1.7652323694229126
8,0.2828175947385824,1.7370417115041765,0.254,1.75677986907959
9,0.2825496371551338,1.7360339798159519,0.27,1.755746702194214
10,0.28133414060003675,1.7349234459763867,0.288,1.7555944089889526
11,0.2853276838374845,1.7332919829982822,0.288,1.7558906002044679
12,0.28425665894933677,1.7335806589005358,0.26,1.7493348846435546
13,0.2845076676300269,1.7322408935781253,0.27,1.7524740839004516
14,0.2864987899754512,1.7314160541962769,0.273,1.75244921875
15,0.2880605328607105,1.7312828490289591,0.27,1.7595157375335693
16,0.28523163899653037,1.7309719104888075,0.3,1.7529339733123779
17,0.2874939471167528,1.730190705444853,0.274,1.7503177366256715
18,0.2894543992008193,1.7297753735113952,0.279,1.7531894035339355
19,0.28596690916535206,1.7300517444893466,0.248,1.7634084815979003
20,0.2876182405941062,1.7283535479489018,0.276,1.7498401126861571
21,0.2890653757662591,1.7281650195687503,0.277,1.7473716869354248
22,0.2893559324570884,1.7278016460143915,0.303,1.752404951095581
23,0.2892074258398202,1.7268437693684788,0.301,1.7535681476593017
24,0.291832930386319,1.72697406390966,0.286,1.74898752784729
25,0.2895318813369436,1.7270836814985437,0.246,1.7541708860397338
26,0.2885964490031287,1.7268220844915358,0.306,1.7522012128829956
27,0.2911412432726662,1.7257100314407026,0.3,1.7499453544616699
28,0.2909160614897639,1.7256184980020686,0.275,1.7494683303833007
29,0.2903147704394187,1.7245538257946402,0.267,1.7520371265411376
30,0.28856739347200777,1.7253675928560355,0.294,1.7436566410064698
31,0.291264730350951,1.7247598169213634,0.257,1.7446919136047363
32,0.2921170302366806,1.724205429372141,0.289,1.7473775234222413
33,0.2907732044614978,1.7240067047587895,0.266,1.7500251789093018
34,0.29103631990945944,1.724169504339412,0.296,1.7481943101882935
