batch_size,eps,fname,norm,steps,trials,acc,robust-acc
1000,1.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,l2,40,1,0.756,0.4684
1000,2.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,l2,40,1,0.756,0.1059
1000,0.15,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,linf,40,1,0.756,0.4742
1000,0.1,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,linf,40,1,0.756,0.5994
1000,0.2,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,linf,40,1,0.756,0.2791
1000,0.3,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,linf,40,1,0.756,0.0475
1000,1.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,l2,100,1,0.756,0.4666
1000,2.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,l2,100,1,0.756,0.1027
1000,0.15,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,linf,100,1,0.756,0.4736
1000,0.1,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,linf,100,1,0.756,0.5997
1000,0.2,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,linf,100,1,0.756,0.2782
1000,0.3,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,linf,100,1,0.756,0.0464
1000,1.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,l2,40,10,0.756,0.4637
1000,2.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,l2,40,10,0.756,0.0979
1000,0.15,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,linf,40,10,0.756,0.4682
1000,0.1,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,linf,40,10,0.756,0.5981
1000,0.2,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,linf,40,10,0.756,0.2651
1000,0.3,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,linf,40,10,0.756,0.0357
1000,1.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,l2,100,10,0.756,0.4627
1000,2.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,l2,100,10,0.756,0.0974
1000,0.15,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,linf,100,10,0.756,0.4681
1000,0.1,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,linf,100,10,0.756,0.5981
1000,0.2,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,linf,100,10,0.756,0.2654
1000,0.3,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_024,linf,100,10,0.756,0.0345
1000,1.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,l2,40,1,0.7575,0.4321
1000,2.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,l2,40,1,0.7575,0.0847
1000,0.15,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,linf,40,1,0.7575,0.4674
1000,0.1,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,linf,40,1,0.7575,0.6003
1000,0.2,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,linf,40,1,0.7575,0.2537
1000,0.3,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,linf,40,1,0.7575,0.0542
1000,1.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,l2,100,1,0.7575,0.4314
1000,2.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,l2,100,1,0.7575,0.0843
1000,0.15,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,linf,100,1,0.7575,0.4674
1000,0.1,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,linf,100,1,0.7575,0.6008
1000,0.2,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,linf,100,1,0.7575,0.2529
1000,0.3,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,linf,100,1,0.7575,0.0533
1000,1.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,l2,40,10,0.7575,0.4259
1000,2.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,l2,40,10,0.7575,0.0796
1000,0.15,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,linf,40,10,0.7575,0.4604
1000,0.1,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,linf,40,10,0.7575,0.5984
1000,0.2,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,linf,40,10,0.7575,0.2411
1000,0.3,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,linf,40,10,0.7575,0.0425
1000,1.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,l2,100,10,0.7575,0.4248
1000,2.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,l2,100,10,0.7575,0.0796
1000,0.15,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,linf,100,10,0.7575,0.4605
1000,0.1,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,linf,100,10,0.7575,0.5983
1000,0.2,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,linf,100,10,0.7575,0.2408
1000,0.3,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_256_058,linf,100,10,0.7575,0.0419
1000,1.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,l2,40,1,0.7912,0.5318
1000,2.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,l2,40,1,0.7912,0.2118
1000,0.15,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,linf,40,1,0.7912,0.5542
1000,0.1,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,linf,40,1,0.7912,0.6687
1000,0.2,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,linf,40,1,0.7912,0.3055
1000,0.3,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,linf,40,1,0.7912,0.0495
1000,1.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,l2,100,1,0.7912,0.5322
1000,2.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,l2,100,1,0.7912,0.2126
1000,0.15,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,linf,100,1,0.7912,0.5534
1000,0.1,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,linf,100,1,0.7912,0.6693
1000,0.2,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,linf,100,1,0.7912,0.3046
1000,0.3,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,linf,100,1,0.7912,0.0489
1000,1.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,l2,40,10,0.7912,0.5235
1000,2.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,l2,40,10,0.7912,0.1817
1000,0.15,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,linf,40,10,0.7912,0.5375
1000,0.1,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,linf,40,10,0.7912,0.6652
1000,0.2,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,linf,40,10,0.7912,0.2817
1000,0.3,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,linf,40,10,0.7912,0.0402
1000,1.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,l2,100,10,0.7912,0.5219
1000,2.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,l2,100,10,0.7912,0.1796
1000,0.15,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,linf,100,10,0.7912,0.5358
1000,0.1,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,linf,100,10,0.7912,0.6652
1000,0.2,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,linf,100,10,0.7912,0.281
1000,0.3,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_128_098,linf,100,10,0.7912,0.0395
1000,1.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_095,l2,40,1,0.8187,0.5542
1000,2.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_095,l2,40,1,0.8187,0.205
1000,0.15,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_095,linf,40,1,0.8187,0.5547
1000,0.1,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_095,linf,40,1,0.8187,0.6815
1000,0.2,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_095,linf,40,1,0.8187,0.2953
1000,0.3,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_095,linf,40,1,0.8187,0.0384
1000,1.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_095,l2,100,1,0.8187,0.5526
1000,2.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_095,l2,100,1,0.8187,0.2037
1000,0.15,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_095,linf,100,1,0.8187,0.5557
1000,0.1,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_095,linf,100,1,0.8187,0.6802
1000,0.2,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_095,linf,100,1,0.8187,0.2958
1000,0.3,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_095,linf,100,1,0.8187,0.0386
1000,1.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_095,l2,40,10,0.8187,0.5486
1000,2.0,comps_100_dataset_FMNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_1_dense-size_256_095,l2,40,10,0.8187,0.1769
