batch_size,eps,fname,norm,steps,trials,acc,robust-acc
1000,1.0,comps_100_dataset_MNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_098,l2,40,1,0.8748,0.5898
1000,2.0,comps_100_dataset_MNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_098,l2,40,1,0.8748,0.1278
1000,0.15,comps_100_dataset_MNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_098,linf,40,1,0.8748,0.5173
1000,0.1,comps_100_dataset_MNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_098,linf,40,1,0.8748,0.6865
1000,0.2,comps_100_dataset_MNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_098,linf,40,1,0.8748,0.2922
1000,0.3,comps_100_dataset_MNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_098,linf,40,1,0.8748,0.0177
1000,1.0,comps_100_dataset_MNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_098,l2,100,1,0.8748,0.5889
1000,2.0,comps_100_dataset_MNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_098,l2,100,1,0.8748,0.1251
1000,0.15,comps_100_dataset_MNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_098,linf,100,1,0.8748,0.5172
1000,0.1,comps_100_dataset_MNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_098,linf,100,1,0.8748,0.6872
1000,0.2,comps_100_dataset_MNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_098,linf,100,1,0.8748,0.2907
1000,0.3,comps_100_dataset_MNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_098,linf,100,1,0.8748,0.0185
1000,1.0,comps_100_dataset_MNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_098,l2,40,10,0.8748,0.5848
1000,2.0,comps_100_dataset_MNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_098,l2,40,10,0.8748,0.1147
1000,0.15,comps_100_dataset_MNIST_method_svd_normalized1_0_normalized2_0_freezed_0_denses_0_dense-size_128_098,linf,40,10,0.8748,0.5114
