batch_size,eps,fname,norm,steps,trials,acc,robust-acc
1000,1.0,type_original_comps_100_dense_128_normalized_0_trainable_0_006.h5,l2,40,1,0.9273,0.264
1000,2.0,type_original_comps_100_dense_128_normalized_0_trainable_0_006.h5,l2,40,1,0.9273,0.0064
1000,0.3,type_original_comps_100_dense_128_normalized_0_trainable_0_006.h5,linf,40,1,0.9273,0.0
1000,0.15,type_original_comps_100_dense_128_normalized_0_trainable_0_006.h5,linf,40,1,0.9273,0.0004
1000,1.0,type_original_comps_100_dense_128_normalized_0_trainable_0_006.h5,l2,100,1,0.9273,0.2614
1000,2.0,type_original_comps_100_dense_128_normalized_0_trainable_0_006.h5,l2,100,1,0.9273,0.0064
1000,0.3,type_original_comps_100_dense_128_normalized_0_trainable_0_006.h5,linf,100,1,0.9273,0.0
1000,0.15,type_original_comps_100_dense_128_normalized_0_trainable_0_006.h5,linf,100,1,0.9273,0.0004
1000,1.0,type_original_comps_100_dense_128_normalized_0_trainable_0_006.h5,l2,40,10,0.9273,0.2546
1000,2.0,type_original_comps_100_dense_128_normalized_0_trainable_0_006.h5,l2,40,10,0.9273,0.0057
1000,0.3,type_original_comps_100_dense_128_normalized_0_trainable_0_006.h5,linf,40,10,0.9273,0.0
1000,0.15,type_original_comps_100_dense_128_normalized_0_trainable_0_006.h5,linf,40,10,0.9273,0.0003
1000,1.0,type_original_comps_100_dense_128_normalized_0_trainable_0_006.h5,l2,100,10,0.9273,0.2527
1000,2.0,type_original_comps_100_dense_128_normalized_0_trainable_0_006.h5,l2,100,10,0.9273,0.0054
1000,0.3,type_original_comps_100_dense_128_normalized_0_trainable_0_006.h5,linf,100,10,0.9273,0.0
1000,0.15,type_original_comps_100_dense_128_normalized_0_trainable_0_006.h5,linf,100,10,0.9273,0.0002
1000,1.0,type_original_comps_100_dense_128_normalized_0_trainable_1_007.h5,l2,40,1,0.9287,0.2237
1000,2.0,type_original_comps_100_dense_128_normalized_0_trainable_1_007.h5,l2,40,1,0.9287,0.0036
1000,0.3,type_original_comps_100_dense_128_normalized_0_trainable_1_007.h5,linf,40,1,0.9287,0.0
1000,0.15,type_original_comps_100_dense_128_normalized_0_trainable_1_007.h5,linf,40,1,0.9287,0.0
1000,1.0,type_original_comps_100_dense_128_normalized_0_trainable_1_007.h5,l2,100,1,0.9287,0.2211
1000,2.0,type_original_comps_100_dense_128_normalized_0_trainable_1_007.h5,l2,100,1,0.9287,0.0041
1000,0.3,type_original_comps_100_dense_128_normalized_0_trainable_1_007.h5,linf,100,1,0.9287,0.0
1000,0.15,type_original_comps_100_dense_128_normalized_0_trainable_1_007.h5,linf,100,1,0.9287,0.0
1000,1.0,type_original_comps_100_dense_128_normalized_0_trainable_1_007.h5,l2,40,10,0.9287,0.214
1000,2.0,type_original_comps_100_dense_128_normalized_0_trainable_1_007.h5,l2,40,10,0.9287,0.0029
1000,0.3,type_original_comps_100_dense_128_normalized_0_trainable_1_007.h5,linf,40,10,0.9287,0.0
1000,0.15,type_original_comps_100_dense_128_normalized_0_trainable_1_007.h5,linf,40,10,0.9287,0.0
1000,1.0,type_original_comps_100_dense_128_normalized_0_trainable_1_007.h5,l2,100,10,0.9287,0.2126
1000,2.0,type_original_comps_100_dense_128_normalized_0_trainable_1_007.h5,l2,100,10,0.9287,0.0026
1000,0.3,type_original_comps_100_dense_128_normalized_0_trainable_1_007.h5,linf,100,10,0.9287,0.0
1000,0.15,type_original_comps_100_dense_128_normalized_0_trainable_1_007.h5,linf,100,10,0.9287,0.0
1000,1.0,type_original_comps_100_dense_128_normalized_1_trainable_0_008.h5,l2,40,1,0.9302,0.1933
1000,2.0,type_original_comps_100_dense_128_normalized_1_trainable_0_008.h5,l2,40,1,0.9302,0.0026
1000,0.3,type_original_comps_100_dense_128_normalized_1_trainable_0_008.h5,linf,40,1,0.9302,0.0
1000,0.15,type_original_comps_100_dense_128_normalized_1_trainable_0_008.h5,linf,40,1,0.9302,0.0
1000,1.0,type_original_comps_100_dense_128_normalized_1_trainable_0_008.h5,l2,100,1,0.9302,0.1925
1000,2.0,type_original_comps_100_dense_128_normalized_1_trainable_0_008.h5,l2,100,1,0.9302,0.0022
1000,0.3,type_original_comps_100_dense_128_normalized_1_trainable_0_008.h5,linf,100,1,0.9302,0.0
1000,0.15,type_original_comps_100_dense_128_normalized_1_trainable_0_008.h5,linf,100,1,0.9302,0.0
1000,1.0,type_original_comps_100_dense_128_normalized_1_trainable_0_008.h5,l2,40,10,0.9302,0.1862
1000,2.0,type_original_comps_100_dense_128_normalized_1_trainable_0_008.h5,l2,40,10,0.9302,0.0017
1000,0.3,type_original_comps_100_dense_128_normalized_1_trainable_0_008.h5,linf,40,10,0.9302,0.0
1000,0.15,type_original_comps_100_dense_128_normalized_1_trainable_0_008.h5,linf,40,10,0.9302,0.0
1000,1.0,type_original_comps_100_dense_128_normalized_1_trainable_0_008.h5,l2,100,10,0.9302,0.1851
1000,2.0,type_original_comps_100_dense_128_normalized_1_trainable_0_008.h5,l2,100,10,0.9302,0.0017
1000,0.3,type_original_comps_100_dense_128_normalized_1_trainable_0_008.h5,linf,100,10,0.9302,0.0
1000,0.15,type_original_comps_100_dense_128_normalized_1_trainable_0_008.h5,linf,100,10,0.9302,0.0
1000,1.0,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,l2,40,1,0.9303,0.2006
1000,2.0,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,l2,40,1,0.9303,0.0048
1000,0.3,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,linf,40,1,0.9303,0.0
1000,0.15,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,linf,40,1,0.9303,0.0004
1000,1.0,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,l2,100,1,0.9303,0.1994
1000,2.0,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,l2,100,1,0.9303,0.0043
1000,0.3,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,linf,100,1,0.9303,0.0
1000,0.15,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,linf,100,1,0.9303,0.0002
1000,1.0,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,l2,40,10,0.9303,0.1913
1000,2.0,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,l2,40,10,0.9303,0.0033
1000,0.3,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,linf,40,10,0.9303,0.0
1000,0.15,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,linf,40,10,0.9303,0.0001
1000,1.0,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,l2,100,10,0.9303,0.1902
1000,2.0,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,l2,100,10,0.9303,0.0033
1000,0.3,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,linf,100,10,0.9303,0.0
1000,0.15,type_original_comps_100_dense_128_normalized_1_trainable_1_008.h5,linf,100,10,0.9303,0.0001
1000,1.0,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,l2,40,1,0.9312,0.1806
1000,2.0,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,l2,40,1,0.9312,0.0022
1000,0.3,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,linf,40,1,0.9312,0.0
1000,0.15,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,linf,40,1,0.9312,0.0
1000,1.0,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,l2,100,1,0.9312,0.179
1000,2.0,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,l2,100,1,0.9312,0.0023
1000,0.3,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,linf,100,1,0.9312,0.0
1000,0.15,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,linf,100,1,0.9312,0.0
1000,1.0,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,l2,40,10,0.9312,0.1734
1000,2.0,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,l2,40,10,0.9312,0.0017
1000,0.3,type_original_comps_100_dense_256_normalized_0_trainable_0_009.h5,linf,40,10,0.9312,0.0
