batch_size,eps,fname,norm,steps,trials,acc,robust-acc
1000,1.0,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_0_006,l2,40,1,0.9273,0.2635
1000,2.0,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_0_006,l2,40,1,0.9273,0.0066
1000,0.3,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_0_006,linf,40,1,0.9273,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_0_006,linf,40,1,0.9273,0.0004
1000,1.0,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_0_006,l2,100,1,0.9273,0.2621
1000,2.0,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_0_006,l2,100,1,0.9273,0.0062
1000,0.3,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_0_006,linf,100,1,0.9273,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_0_006,linf,100,1,0.9273,0.0004
1000,1.0,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_0_006,l2,40,10,0.9273,0.2536
1000,2.0,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_0_006,l2,40,10,0.9273,0.0057
1000,0.3,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_0_006,linf,40,10,0.9273,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_0_006,linf,40,10,0.9273,0.0003
1000,1.0,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_0_006,l2,100,10,0.9273,0.2528
1000,2.0,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_0_006,l2,100,10,0.9273,0.0056
1000,0.3,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_0_006,linf,100,10,0.9273,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_0_006,linf,100,10,0.9273,0.0002
1000,1.0,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_1_007,l2,40,1,0.9287,0.2218
1000,2.0,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_1_007,l2,40,1,0.9287,0.0042
1000,0.3,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_1_007,linf,40,1,0.9287,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_1_007,linf,40,1,0.9287,0.0001
1000,1.0,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_1_007,l2,100,1,0.9287,0.2208
1000,2.0,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_1_007,l2,100,1,0.9287,0.0037
1000,0.3,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_1_007,linf,100,1,0.9287,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_1_007,linf,100,1,0.9287,0.0
1000,1.0,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_1_007,l2,40,10,0.9287,0.2146
1000,2.0,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_1_007,l2,40,10,0.9287,0.0028
1000,0.3,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_1_007,linf,40,10,0.9287,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_1_007,linf,40,10,0.9287,0.0
1000,1.0,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_1_007,l2,100,10,0.9287,0.2129
1000,2.0,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_1_007,l2,100,10,0.9287,0.0026
1000,0.3,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_1_007,linf,100,10,0.9287,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_128_normalize_0_freeze_1_007,linf,100,10,0.9287,0.0
1000,1.0,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_0_008,l2,40,1,0.9302,0.1935
1000,2.0,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_0_008,l2,40,1,0.9302,0.0022
1000,0.3,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_0_008,linf,40,1,0.9302,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_0_008,linf,40,1,0.9302,0.0
1000,1.0,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_0_008,l2,100,1,0.9302,0.1913
1000,2.0,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_0_008,l2,100,1,0.9302,0.0023
1000,0.3,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_0_008,linf,100,1,0.9302,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_0_008,linf,100,1,0.9302,0.0
1000,1.0,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_0_008,l2,40,10,0.9302,0.1852
1000,2.0,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_0_008,l2,40,10,0.9302,0.0018
1000,0.3,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_0_008,linf,40,10,0.9302,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_0_008,linf,40,10,0.9302,0.0
1000,1.0,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_0_008,l2,100,10,0.9302,0.1848
1000,2.0,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_0_008,l2,100,10,0.9302,0.0017
1000,0.3,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_0_008,linf,100,10,0.9302,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_0_008,linf,100,10,0.9302,0.0
1000,1.0,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_1_008,l2,40,1,0.9303,0.1983
1000,2.0,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_1_008,l2,40,1,0.9303,0.0044
1000,0.3,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_1_008,linf,40,1,0.9303,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_1_008,linf,40,1,0.9303,0.0003
1000,1.0,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_1_008,l2,100,1,0.9303,0.1987
1000,2.0,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_1_008,l2,100,1,0.9303,0.0044
1000,0.3,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_1_008,linf,100,1,0.9303,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_1_008,linf,100,1,0.9303,0.0003
1000,1.0,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_1_008,l2,40,10,0.9303,0.1919
1000,2.0,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_1_008,l2,40,10,0.9303,0.0034
1000,0.3,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_1_008,linf,40,10,0.9303,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_1_008,linf,40,10,0.9303,0.0001
1000,1.0,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_1_008,l2,100,10,0.9303,0.1902
1000,2.0,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_1_008,l2,100,10,0.9303,0.0032
1000,0.3,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_1_008,linf,100,10,0.9303,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_128_normalize_1_freeze_1_008,linf,100,10,0.9303,0.0001
1000,1.0,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_0_009,l2,40,1,0.9312,0.1812
1000,2.0,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_0_009,l2,40,1,0.9312,0.0022
1000,0.3,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_0_009,linf,40,1,0.9312,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_0_009,linf,40,1,0.9312,0.0
1000,1.0,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_0_009,l2,100,1,0.9312,0.1793
1000,2.0,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_0_009,l2,100,1,0.9312,0.0021
1000,0.3,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_0_009,linf,100,1,0.9312,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_0_009,linf,100,1,0.9312,0.0
1000,1.0,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_0_009,l2,40,10,0.9312,0.1734
1000,2.0,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_0_009,l2,40,10,0.9312,0.0017
1000,0.3,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_0_009,linf,40,10,0.9312,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_0_009,linf,40,10,0.9312,0.0
1000,1.0,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_0_009,l2,100,10,0.9312,0.1723
1000,2.0,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_0_009,l2,100,10,0.9312,0.0016
1000,0.3,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_0_009,linf,100,10,0.9312,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_0_009,linf,100,10,0.9312,0.0
1000,1.0,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_1_007,l2,40,1,0.928,0.2348
1000,2.0,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_1_007,l2,40,1,0.928,0.0062
1000,0.3,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_1_007,linf,40,1,0.928,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_1_007,linf,40,1,0.928,0.0003
1000,1.0,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_1_007,l2,100,1,0.928,0.2322
1000,2.0,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_1_007,l2,100,1,0.928,0.0055
1000,0.3,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_1_007,linf,100,1,0.928,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_1_007,linf,100,1,0.928,0.0003
1000,1.0,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_1_007,l2,40,10,0.928,0.2254
1000,2.0,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_1_007,l2,40,10,0.928,0.005
1000,0.3,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_1_007,linf,40,10,0.928,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_1_007,linf,40,10,0.928,0.0003
1000,1.0,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_1_007,l2,100,10,0.928,0.2234
1000,2.0,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_1_007,l2,100,10,0.928,0.005
1000,0.3,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_1_007,linf,100,10,0.928,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_256_normalize_0_freeze_1_007,linf,100,10,0.928,0.0003
1000,1.0,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_0_008,l2,40,1,0.9294,0.2088
1000,2.0,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_0_008,l2,40,1,0.9294,0.0041
1000,0.3,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_0_008,linf,40,1,0.9294,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_0_008,linf,40,1,0.9294,0.0002
1000,1.0,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_0_008,l2,100,1,0.9294,0.2081
1000,2.0,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_0_008,l2,100,1,0.9294,0.0037
1000,0.3,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_0_008,linf,100,1,0.9294,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_0_008,linf,100,1,0.9294,0.0002
1000,1.0,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_0_008,l2,40,10,0.9294,0.2016
1000,2.0,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_0_008,l2,40,10,0.9294,0.003
1000,0.3,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_0_008,linf,40,10,0.9294,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_0_008,linf,40,10,0.9294,0.0
1000,1.0,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_0_008,l2,100,10,0.9294,0.2008
1000,2.0,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_0_008,l2,100,10,0.9294,0.0029
1000,0.3,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_0_008,linf,100,10,0.9294,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_0_008,linf,100,10,0.9294,0.0
1000,1.0,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_1_006,l2,40,1,0.9268,0.2746
1000,2.0,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_1_006,l2,40,1,0.9268,0.0071
1000,0.3,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_1_006,linf,40,1,0.9268,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_1_006,linf,40,1,0.9268,0.0
1000,1.0,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_1_006,l2,100,1,0.9268,0.2731
1000,2.0,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_1_006,l2,100,1,0.9268,0.0064
1000,0.3,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_1_006,linf,100,1,0.9268,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_1_006,linf,100,1,0.9268,0.0001
1000,1.0,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_1_006,l2,40,10,0.9268,0.2653
1000,2.0,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_1_006,l2,40,10,0.9268,0.006
1000,0.3,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_1_006,linf,40,10,0.9268,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_1_006,linf,40,10,0.9268,0.0
1000,1.0,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_1_006,l2,100,10,0.9268,0.2644
1000,2.0,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_1_006,l2,100,10,0.9268,0.0058
1000,0.3,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_1_006,linf,100,10,0.9268,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_256_normalize_1_freeze_1_006,linf,100,10,0.9268,0.0
1000,1.0,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_0_005,l2,40,1,0.9244,0.317
1000,2.0,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_0_005,l2,40,1,0.9244,0.0125
1000,0.3,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_0_005,linf,40,1,0.9244,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_0_005,linf,40,1,0.9244,0.0008
1000,1.0,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_0_005,l2,100,1,0.9244,0.3146
1000,2.0,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_0_005,l2,100,1,0.9244,0.0121
1000,0.3,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_0_005,linf,100,1,0.9244,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_0_005,linf,100,1,0.9244,0.0007
1000,1.0,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_0_005,l2,40,10,0.9244,0.3057
1000,2.0,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_0_005,l2,40,10,0.9244,0.0105
1000,0.3,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_0_005,linf,40,10,0.9244,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_0_005,linf,40,10,0.9244,0.0007
1000,1.0,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_0_005,l2,100,10,0.9244,0.304
1000,2.0,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_0_005,l2,100,10,0.9244,0.0105
1000,0.3,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_0_005,linf,100,10,0.9244,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_0_005,linf,100,10,0.9244,0.0006
1000,1.0,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_1_006,l2,40,1,0.9275,0.2592
1000,2.0,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_1_006,l2,40,1,0.9275,0.0069
1000,0.3,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_1_006,linf,40,1,0.9275,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_1_006,linf,40,1,0.9275,0.0006
1000,1.0,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_1_006,l2,100,1,0.9275,0.2584
1000,2.0,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_1_006,l2,100,1,0.9275,0.0072
1000,0.3,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_1_006,linf,100,1,0.9275,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_1_006,linf,100,1,0.9275,0.0004
1000,1.0,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_1_006,l2,40,10,0.9275,0.2504
1000,2.0,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_1_006,l2,40,10,0.9275,0.0056
1000,0.3,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_1_006,linf,40,10,0.9275,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_1_006,linf,40,10,0.9275,0.0003
1000,1.0,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_1_006,l2,100,10,0.9275,0.2498
1000,2.0,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_1_006,l2,100,10,0.9275,0.0057
1000,0.3,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_1_006,linf,100,10,0.9275,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_512_normalize_0_freeze_1_006,linf,100,10,0.9275,0.0004
1000,1.0,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_0_009,l2,40,1,0.9304,0.1685
1000,2.0,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_0_009,l2,40,1,0.9304,0.0008
1000,0.3,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_0_009,linf,40,1,0.9304,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_0_009,linf,40,1,0.9304,0.0
1000,1.0,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_0_009,l2,100,1,0.9304,0.1678
1000,2.0,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_0_009,l2,100,1,0.9304,0.0005
1000,0.3,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_0_009,linf,100,1,0.9304,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_0_009,linf,100,1,0.9304,0.0
1000,1.0,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_0_009,l2,40,10,0.9304,0.1607
1000,2.0,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_0_009,l2,40,10,0.9304,0.0005
1000,0.3,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_0_009,linf,40,10,0.9304,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_0_009,linf,40,10,0.9304,0.0
1000,1.0,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_0_009,l2,100,10,0.9304,0.1598
1000,2.0,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_0_009,l2,100,10,0.9304,0.0005
1000,0.3,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_0_009,linf,100,10,0.9304,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_0_009,linf,100,10,0.9304,0.0
1000,1.0,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_1_007,l2,40,1,0.9283,0.2221
1000,2.0,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_1_007,l2,40,1,0.9283,0.0051
1000,0.3,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_1_007,linf,40,1,0.9283,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_1_007,linf,40,1,0.9283,0.0003
1000,1.0,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_1_007,l2,100,1,0.9283,0.2217
1000,2.0,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_1_007,l2,100,1,0.9283,0.0051
1000,0.3,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_1_007,linf,100,1,0.9283,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_1_007,linf,100,1,0.9283,0.0003
1000,1.0,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_1_007,l2,40,10,0.9283,0.2153
1000,2.0,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_1_007,l2,40,10,0.9283,0.0038
1000,0.3,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_1_007,linf,40,10,0.9283,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_1_007,linf,40,10,0.9283,0.0001
1000,1.0,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_1_007,l2,100,10,0.9283,0.2156
1000,2.0,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_1_007,l2,100,10,0.9283,0.0034
1000,0.3,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_1_007,linf,100,10,0.9283,0.0
1000,0.15,MLP_model-type_original_comps_100_dense_512_normalize_1_freeze_1_007,linf,100,10,0.9283,0.0001
1000,1.0,MLP_model-type_original_comps_10_dense_128_normalize_0_freeze_0_008,l2,40,1,0.9133,0.4257
