batch_size,eps,model,norm,steps,trials,acc,robust-acc
1000,1.0,model-type_original_comps_100_dense_128_009.h5,l2,40,1,0.9678,0.0408
1000,2.0,model-type_original_comps_100_dense_128_009.h5,l2,40,1,0.9678,0.0
1000,0.3,model-type_original_comps_100_dense_128_009.h5,linf,40,1,0.9678,0.0
1000,0.15,model-type_original_comps_100_dense_128_009.h5,linf,40,1,0.9678,0.0
1000,1.0,model-type_original_comps_100_dense_128_009.h5,l2,100,1,0.9678,0.0391
1000,2.0,model-type_original_comps_100_dense_128_009.h5,l2,100,1,0.9678,0.0
1000,0.3,model-type_original_comps_100_dense_128_009.h5,linf,100,1,0.9678,0.0
1000,0.15,model-type_original_comps_100_dense_128_009.h5,linf,100,1,0.9678,0.0
1000,1.0,model-type_original_comps_100_dense_128_009.h5,l2,40,10,0.9678,0.0332
1000,2.0,model-type_original_comps_100_dense_128_009.h5,l2,40,10,0.9678,0.0
1000,0.3,model-type_original_comps_100_dense_128_009.h5,linf,40,10,0.9678,0.0
1000,0.15,model-type_original_comps_100_dense_128_009.h5,linf,40,10,0.9678,0.0
1000,1.0,model-type_original_comps_100_dense_128_009.h5,l2,100,10,0.9678,0.0324
1000,2.0,model-type_original_comps_100_dense_128_009.h5,l2,100,10,0.9678,0.0
1000,0.3,model-type_original_comps_100_dense_128_009.h5,linf,100,10,0.9678,0.0
1000,0.15,model-type_original_comps_100_dense_128_009.h5,linf,100,10,0.9678,0.0
1000,1.0,model-type_original_comps_100_dense_256_007.h5,l2,40,1,0.9683,0.0449
1000,2.0,model-type_original_comps_100_dense_256_007.h5,l2,40,1,0.9683,0.0
1000,0.3,model-type_original_comps_100_dense_256_007.h5,linf,40,1,0.9683,0.0
1000,0.15,model-type_original_comps_100_dense_256_007.h5,linf,40,1,0.9683,0.0
1000,1.0,model-type_original_comps_100_dense_256_007.h5,l2,100,1,0.9683,0.0431
1000,2.0,model-type_original_comps_100_dense_256_007.h5,l2,100,1,0.9683,0.0
1000,0.3,model-type_original_comps_100_dense_256_007.h5,linf,100,1,0.9683,0.0
1000,0.15,model-type_original_comps_100_dense_256_007.h5,linf,100,1,0.9683,0.0
1000,1.0,model-type_original_comps_100_dense_256_007.h5,l2,40,10,0.9683,0.0367
1000,2.0,model-type_original_comps_100_dense_256_007.h5,l2,40,10,0.9683,0.0
1000,0.3,model-type_original_comps_100_dense_256_007.h5,linf,40,10,0.9683,0.0
1000,0.15,model-type_original_comps_100_dense_256_007.h5,linf,40,10,0.9683,0.0
